CivilParish1930Code,CivilParish1930Name,Census1991CPCode1,Census1991CPCode2,Census1991CPCode3,Census1991CPCode4
829,Troqueer,09023,,,
830,Tulliallan,12013,,,
831,Tullynessle and Forbes,17048,,,
832,Tundergarth,08022,,,
833,Turriff,16027,,,
834,Tweedsmuir,04013,,,
835,Twynholm,10020,,,
836,Tynron,09024,,,
837,Tyrie,16028,,,
838,Udny,17049,,,
839,Uig,56008,,,
840,Unst,55010,,,
841,Uphall,31010,,,
842,Urquhart,19031,,,
843,Urquhart and Glenmoriston,22012,,,
844,Urquhart and Logie Wester,25024,,,
845,Urr,10021,,,
846,Urray,22013,25025,,
847,Walls and Flotta,54020,,,
848,Walls and Sandness,55011,,,
849,Walston,46019,,,
850,Wamphray,08023,,,
851,Watten,21009,,,
852,Weem,53067,,,
853,Wemyss,13012,,,
854,West Calder,31011,,,
855,West Kilbride,37012,,,
856,West Linton,04014,,,
857,Westerkirk,08024,,,
858,Westray,54021,,,
859,Westruther,01025,,,
860,Whitburn,31012,,,
861,Whitekirk and Tyninghame,28023,,,
862,Whithorn,11018,,,
863,Whitsome,01026,,,
864,Whittingehame,28024,,,
865,Wick,21010,,,
866,Wigtown,11019,,,
867,Wiston and Roberton,46020,,,
868,Yarrow,02019,,,
869,Yell,55012,,,
870,Yester,28025,,,
871,Yetholm,03026,,,
